index,axis-0,axis-1
0.0,15539.751537836459,2150.8639083150533
1.0,15373.457365124408,2406.9275016946726
2.0,15257.19860721067,2562.920265477659
3.0,15154.184517920019,2657.104575686255
4.0,15046.75553908834,2742.4591068127947
5.0,14912.837223010492,2842.529936409427
6.0,14808.351503872833,2923.4695779949393
7.0,14724.468602593308,2992.6361808043766
8.0,14728.883492134335,3039.728335908674
9.0,14830.425951577978,3128.0261267292326
10.0,14911.36559316349,3200.1359892326886
11.0,14964.344267655824,3278.132371124182
12.0,15032.039240618253,3363.486902250722
13.0,15038.022747528215,3481.1883525700346
14.0,15032.580178538099,3648.0938016002556
15.0,15059.793023488679,3804.1141126502444
16.0,15048.907885508446,3940.1783374031415
17.0,15041.651126854958,4166.952045324637
18.0,14983.597057627056,4377.3980462757845
19.0,14943.684885032873,4524.347409008914
20.0,14867.48891917125,4800.104237841452
21.0,14747.752401388701,5017.806997446088
22.0,14773.151056675908,5141.171894555381
23.0,14678.813194180566,5299.006395268742
24.0,14486.509089863137,5453.21251665536
25.0,14410.313124001515,5482.239551269311
26.0,14317.789451169545,5429.628051031524
27.0,14230.708347327693,5429.628051031525
28.0,14165.397519446302,5464.097654635591
29.0,14002.120449742823,5643.702431309416
30.0,13804.373776435279,5783.3948139303575
31.0,13719.106862256796,5924.901607673371
32.0,13595.741965147503,6046.4523151192925
33.0,13465.120309384722,6131.719229297774
34.0,13372.596636552751,6193.401677852422
35.0,13256.488498096945,6271.411833377416
36.0,13133.123600987652,6307.695626644855
37.0,13040.599928155681,6325.837523278575
38.0,12939.005307006852,6322.209143951831
39.0,12862.809341145228,6325.837523278575
40.0,12808.38365124407,6343.979419912294
41.0,12730.373495719075,6387.5199718332215
42.0,12634.221443560366,6412.918627120429
43.0,12494.528839480725,6414.732816783801
44.0,12336.694338767364,6392.962540823338
45.0,12180.674027717374,6362.121316546014
46.0,12059.123320271454,6325.837523278575
47.0,11973.856406092971,6294.996299001252
48.0,11910.359767874952,6314.952385298344
49.0,11663.629973656365,6416.547006447174
50.0,11484.025196982539,6454.6449893779845
51.0,11297.163661655226,6460.0875583681
52.0,11106.673747001169,6460.0875583681
53.0,10990.565608545363,6418.361196110545
54.0,10896.22774605002,6387.5199718332215
55.0,10809.146642208167,6320.394954288459
56.0,10734.764866009915,6349.421988902411
57.0,10573.30198596981,6434.6889030808925
58.0,10397.32558862273,6498.185541298912
59.0,10353.785036701805,6637.878145378552
60.0,10270.332312186692,6766.685611477962
61.0,10237.676898245998,6801.15521508203
62.0,10141.524846087283,6893.6788879139995
63.0,10014.531569651246,6977.13161242911
64.0,9947.406552106486,7056.955957617478
65.0,9755.102447789055,7144.03706145933
66.0,9620.85241269953,7187.577613380257
67.0,9385.007756461177,7227.489785974441
68.0,9141.906341569333,7289.172234529087
69.0,8960.487375232136,7334.526976113386
70.0,8799.024495192032,7367.182390054081
71.0,8652.075132458902,7405.280372984893
72.0,8532.338614676353,7436.121597262216
73.0,8418.04466588392,7452.449304232564
74.0,8247.510837526956,7474.2195801930275
75.0,8220.298435493774,7485.10471817326
76.0,8053.392986463554,7485.10471817326
77.0,7931.842279017632,7378.067528034314
78.0,7861.088882146126,7249.260061934905
79.0,7822.990899215314,7227.4897859744415
80.0,7744.98074369032,7258.331010251764
81.0,7657.899639848466,7327.270217459899
82.0,7559.93339802638,7385.324286687802
83.0,7512.764466778708,7385.324286687802
84.0,7284.17656919384,7245.631682608159
85.0,7231.565068956053,7163.993147756421
86.0,7111.828551173504,7125.89516482561
87.0,6943.108912479912,7035.1856816570125
88.0,6816.1156360438745,6962.618095122134
89.0,6641.953428360166,6842.8815773395845
90.0,6438.764186062506,6714.074111240176
91.0,6304.02414526265,6636.553961425513
92.0,6213.6821663768,6568.093094052524
93.0,6081.368822378229,6487.30040331868
94.0,5975.90081904749,6458.885875842643
95.0,5618.38295393563,6257.633324635937
96.0,5348.436198375955,6082.736108386733
97.0,5081.7503178602765,5939.415124980347
98.0,4887.632023879476,5812.42184854431
99.0,4697.14210922542,5698.127899751876
100.0,4569.584330284867,5598.816020409046
101.0,4469.844739100698,5583.322491681409
102.0,4352.674928097936,5573.639036226635
103.0,4237.441808186129,5510.696575770606
104.0,4090.2532852735685,5433.228932132416
105.0,3908.9064807368704,5331.930865777718
106.0,3729.3676394017352,5211.257218322955
107.0,3504.2082728093114,5068.509123163052
108.0,3298.180094228009,4881.61213259287
109.0,3106.8682141167988,4735.920777738948
