index,axis-0,axis-1
,9.23E+03,2.01E+01
,9.18E+03,7.93E+01
,9.04E+03,1.54E+02
,8.93E+03,1.10E+02
,8.88E+03,1.08E+02
,8.80E+03,1.67E+02
,8.63E+03,6.41E+02
,8.53E+03,7.35E+02
,8.45E+03,8.10E+02
,8.33E+03,8.62E+02
,8.21E+03,9.59E+02
,8.11E+03,1.04E+03
,8.03E+03,1.11E+03
,7.94E+03,1.06E+03
,7.84E+03,9.76E+02
,7.45E+03,6.21E+02
,7.34E+03,5.40E+02
,7.26E+03,5.66E+02
,7.21E+03,5.51E+02
,7.11E+03,5.05E+02
,7.00E+03,5.05E+02
,6.82E+03,5.20E+02
,6.63E+03,5.33E+02
,6.53E+03,5.37E+02
,6.34E+03,4.91E+02
,6.22E+03,4.69E+02
,5.96E+03,4.74E+02
,5.78E+03,4.89E+02
,5.63E+03,4.72E+02
,5.47E+03,4.89E+02
,5.36E+03,4.89E+02
,5.19E+03,4.89E+02
,5.08E+03,4.85E+02
,4.98E+03,4.83E+02
,4.85E+03,5.00E+02
,4.77E+03,5.00E+02
,4.58E+03,5.05E+02
,4.40E+03,5.13E+02
,4.19E+03,5.57E+02
,4.05E+03,5.97E+02
,3.91E+03,6.41E+02
,3.78E+03,7.00E+02
,3.66E+03,7.70E+02
,3.52E+03,8.62E+02
,3.34E+03,9.56E+02
,3.23E+03,1.04E+03
,3.14E+03,1.10E+03
,3.10E+03,1.15E+03
,3.04E+03,1.20E+03
,2.82E+03,1.31E+03
,2.70E+03,1.34E+03
,2.46E+03,1.31E+03
,2.33E+03,1.28E+03
,2.15E+03,1.24E+03
,1.96E+03,1.20E+03
,1.80E+03,1.18E+03
,1.67E+03,1.15E+03
,1.57E+03,1.13E+03
,1.08E+04,5.02E+02
,1.08E+04,4.67E+02
,1.07E+04,4.77E+02
,1.06E+04,5.15E+02
,1.05E+04,6.48E+02
,1.05E+04,8.05E+02
,1.04E+04,9.88E+02
,1.04E+04,1.15E+03
,1.04E+04,1.29E+03
,1.04E+04,1.37E+03
,1.05E+04,1.40E+03
,1.04E+04,1.52E+03
,1.05E+04,1.67E+03
,1.06E+04,1.74E+03
,1.07E+04,1.79E+03
,1.07E+04,1.84E+03
,1.08E+04,1.85E+03
,1.09E+04,1.87E+03
,1.09E+04,1.83E+03
,1.09E+04,1.72E+03
,1.10E+04,1.71E+03
,1.10E+04,1.70E+03
,1.11E+04,1.69E+03
,1.11E+04,1.67E+03
,1.12E+04,1.61E+03
,1.13E+04,1.57E+03
,1.14E+04,1.51E+03
,1.15E+04,1.48E+03
,1.17E+04,1.41E+03
,1.17E+04,1.32E+03
,1.18E+04,1.26E+03
,1.19E+04,1.24E+03
,1.19E+04,1.17E+03
,1.20E+04,1.07E+03
,1.20E+04,9.32E+02
,1.20E+04,8.23E+02
,1.20E+04,7.21E+02
,1.19E+04,6.53E+02
,1.16E+04,5.45E+02
,1.15E+04,5.13E+02
,1.13E+04,5.10E+02
,1.12E+04,5.58E+02
,1.10E+04,5.13E+02
,1.08E+04,5.02E+02
