index,axis-0,axis-1
0.0,-94.66306830153746,3348.2060529561577
1.0,-126.14176758898384,3490.9094897259147
2.0,-138.7332473039624,3606.3313871132186
3.0,-92.56448834904103,3749.0348238829756
4.0,-19.114190011666096,3887.5411007477396
5.0,129.88498661558026,4099.497675949879
6.0,245.30688400288363,4269.48265210209
7.0,392.2074806776335,4416.383248776839
8.0,516.0236978749227,4533.903726116639
9.0,646.1356549297012,4626.241244026482
10.0,780.4447718894725,4699.691542363857
11.0,868.5851298943224,4722.7759218413175
12.0,1063.75306547649,4783.634612376559
13.0,1273.6110607261328,4848.690590903949
14.0,1479.2718960707825,4938.929528861295
15.0,1708.017110892893,4995.591187578699
16.0,1922.0722660475285,5022.872726961152
17.0,2094.1558221522355,5014.478407151166
18.0,2249.450738636971,4985.098287816216
19.0,2404.745655121707,4938.929528861295
20.0,2562.139151558939,4857.084910713934
21.0,2679.6596288987384,4731.170113564149
22.0,2738.20930413136,4617.492391883831
23.0,2785.2552781107715,4590.60897818131
24.0,2816.6192607637126,4524.520586162613
25.0,2863.665234743124,4411.386220164504
26.0,2877.106941594385,4509.958737073748
27.0,2897.269501871275,4626.453529784671
28.0,2939.8349069002666,4748.54903368362
29.0,2977.919742978838,4875.125106532989
30.0,3031.6865703838794,4965.856627778997
31.0,3091.0541089769463,5031.945019797694
32.0,3160.5029277084586,5110.354976430046
33.0,3247.8740222416513,5185.404506349584
34.0,3341.965970200474,5248.132471655466
35.0,3437.9499455826467,5311.352863221944
36.0,3614.7031426587355,5424.585380098813
37.0,3779.028380565412,5511.581094284701
38.0,3886.7373600336537,5544.722318736467
39.0,4034.491985714447,5640.003339035296
40.0,4215.795451783839,5742.488031772995
41.0,4420.174672521405,5825.274551565428
42.0,4725.449964255998,5879.603205179211
43.0,4847.042665201132,5882.190283922724
44.0,4978.98368112032,5928.757701305967
45.0,5127.153820365815,5910.654041562191
46.0,5246.31627753692,5920.8679664625715
47.0,5438.678529827419,5941.295816263333
48.0,5588.482761699665,5958.319024430633
49.0,5728.0730686715315,5956.616703613903
50.0,5945.970133212982,5915.761004012382
51.0,6066.834911200816,5876.60762522759
52.0,6174.081122654812,5847.668171343179
53.0,6250.685559407665,5815.324075825307
54.0,6449.857094965084,5762.552130506675
55.0,6628.600780721741,5714.887147638232
56.0,6788.618937494369,5679.1384104869
57.0,6962.255660800836,5631.473427618458
58.0,7139.297025740764,5609.343257000967
59.0,7309.529107413772,5556.571311682334
60.0,7428.691564584878,5517.417932897542
61.0,7546.151700939253,5483.371516562942
62.0,7707.87217852861,5468.050629212371
63.0,7786.178936098193,5447.622779411609
64.0,7956.411017771201,5405.064758993358
65.0,8114.72643812143,5336.971926324155
66.0,8405.823297782274,5233.13035650362
67.0,8644.148212124484,5122.479503416165
68.0,8846.724389315363,5028.851858496011
69.0,9015.25415017164,4953.949742559887
