index,axis-0,axis-1
0.0,302.5392065193205,623.6825454060065
1.0,236.64049330897274,619.2892978586501
2.0,21.37136348850322,953.176111457746
3.0,-18.167864437705475,1216.770964299137
4.0,-22.561111985061984,1528.69154016145
5.0,-26.954359532418493,1954.8365522550328
6.0,-4.988121795635948,2209.6449100017107
7.0,113.62956198299014,2328.262593780337
8.0,302.5392065193205,2490.8127530325282
9.0,451.90962312944237,2631.3966745479365
10.0,680.3584955919811,2670.935902474145
11.0,891.234377865094,2675.329150021502
12.0,1031.8182993805028,2719.261625495067
13.0,1176.795468443268,2710.475130400354
14.0,1376.836561550439,2741.4624731991357
15.0,1571.467293580931,2734.4276274630943
16.0,1709.8192597230882,2732.0826788844133
17.0,1970.108551956638,2713.3230902549685
18.0,2134.254952464282,2722.702884569691
19.0,2289.0215586572035,2734.4276274630943
20.0,2485.9972392663763,2764.9119589859424
21.0,2598.55482471466,2755.532200452295
22.0,2690.0078192832048,2710.978177457363
23.0,2802.565351059875,2668.769103041112
24.0,2865.8789626842517,2687.528691670557
25.0,2943.262265780713,2654.699411569028
26.0,3067.5445404507846,2558.5565198431223
27.0,3109.7536148670356,2518.6923940055517
28.0,3266.865169638638,2537.4519826349965
29.0,3421.6317758315595,2577.3161084725675
30.0,3552.948896237675,2631.249925782222
31.0,3693.6458109585124,2654.699411569028
32.0,3808.5482913138635,2708.6332288786825
33.0,3895.3113887250465,2710.978177457363
34.0,4000.834074765675,2778.9816862391012
35.0,3953.9351031920655,2830.570554970075
36.0,3907.0361316184526,2879.8144751223685
37.0,3857.7922114661596,2964.232623954871
38.0,3843.722519994076,3086.1699500462637
39.0,3855.4472628874773,3217.487070452379
40.0,3883.586645831645,3341.7693451224527
41.0,3928.140668826577,3442.6021340057196
42.0,4019.786271044526,3615.630684652523
43.0,4069.162174371772,3694.323530580322
44.0,4161.741993110359,3820.84928285639
45.0,4212.6608934165815,3888.7411499313534
46.0,4274.380772575639,3921.1440864898586
47.0,4309.869703092097,4039.9548538710446
48.0,4345.3586336085555,4129.448678651678
49.0,4405.535515788636,4218.942503432312
50.0,4487.314355674388,4373.2422013299565
51.0,4579.894174412974,4522.912908290671
52.0,4650.872035445892,4623.20771192414
53.0,4698.704941794162,4706.529548788868
54.0,4744.994851163455,4812.996340338243
55.0,4829.859685007159,4947.237077509194
56.0,4893.122561145193,5056.789863016522
57.0,4945.584458430392,5130.853718007391
58.0,5058.223237895672,5245.0354944516475
59.0,5092.169171433154,5277.438431010152
60.0,5184.748990171741,5297.497391736846
61.0,5255.726851204657,5329.900328295352
62.0,5343.677679006314,5349.959289022046
63.0,5448.601473576712,5345.330298085116
64.0,5539.638295336323,5332.986322253304
65.0,5624.503129180026,5342.244304127164
66.0,5749.485884477119,5393.1632044333855
67.0,5834.350718320823,5450.254092655514
68.0,5874.46863977421,5479.571035256065
69.0,5925.387540080433,5479.571035256065
70.0,5962.419467575868,5533.575929520242
71.0,6068.886259125243,5567.521863057723
72.0,6158.380083905877,5615.354769405993
73.0,6207.755987233123,5660.10168179631
74.0,6295.70681503478,5698.676606270721
75.0,6391.37262773132,5734.165536787179
76.0,6453.092506890377,5774.283458240566
77.0,6536.414343755106,5856.062298126318
78.0,6632.080156451644,6002.64701112908
79.0,6709.230005400465,6087.511844972783
80.0,6804.895818097005,6183.177657669323
81.0,6883.5886640248045,6247.983530786334
82.0,6919.077594541262,6301.988425050509
83.0,7002.399431405989,6328.219373693109
84.0,7110.40921993434,6352.907325356732
85.0,7233.848978252456,6357.536316293661
86.0,7360.374730528524,6355.993319314684
87.0,7449.868178600912,6325.133379735157
88.0,7542.447997339498,6318.961391819252
89.0,7648.914788888873,6354.45032233571
90.0,7784.6985230388,6386.853258894214
91.0,7925.111248125656,6399.197234726026
92.0,8023.863054780148,6372.966286083427
93.0,8119.528867476687,6328.21937369311
94.0,8219.823671110156,6268.042491513027
95.0,8334.005447554413,6167.747687879559
96.0,8408.069302545282,6146.145730173888
97.0,8605.572915854267,6207.865609332946
98.0,8784.560565415535,6224.838576101687
99.0,8932.688275397271,6226.381573080664
100.0,9096.245955168773,6220.209585164757
101.0,9194.997761823266,6224.838576101687
102.0,9272.147610772088,6192.435639543182
103.0,9244.373665150515,6255.698515681216
104.0,9252.088650045394,6329.762370672084
105.0,9259.803634940277,6448.573138053271
106.0,9313.808529204452,6579.727881266268
107.0,9373.985411384534,6700.081645626431
108.0,9458.850245228237,6788.0324734280875
109.0,9491.253181786742,6808.091434154781
110.0,9549.887066987849,6848.20935560817
111.0,9611.606946146909,6919.187216641088
112.0,9711.901749780378,6996.33706558991
113.0,9792.137592687153,7050.341959854086
114.0,9815.2825473718,7087.37388734952
115.0,9860.029459762114,7115.147832971095
116.0,9907.862366110385,7082.744896412591
117.0,10006.614172764876,7082.744896412591
118.0,10108.45197337732,7104.34685411826
119.0,10193.316807221025,7084.287893391566
120.0,10292.068613875517,7027.197005169437
121.0,10383.105435635127,6997.8800625688855
122.0,10506.545193953243,6988.622080695028
123.0,10617.640976439547,6997.8800625688855
124.0,10737.99474079971,6993.251071631957
125.0,10878.407465886565,6962.391132052428
126.0,11028.078172847281,6939.2461773677815
127.0,11234.839768030124,6892.956267998487
128.0,11396.854450822651,6854.381343524076
129.0,11776.431707650856,6737.1135731218665
130.0,12064.97214271945,6644.533754383279
131.0,12333.453617061352,6556.582926581623
132.0,12599.490007855067,6433.03180099013
133.0,12817.570225672365,6339.233857842905
134.0,12986.406523337371,6238.401068959638
135.0,13218.556432626754,6182.122303071303
136.0,13492.915416332386,6067.219822715952
137.0,13720.375428464406,5982.801673883449
138.0,13933.765749124343,5884.3138335788635
